Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
10010,102,10020,1.30E-04
10020,16,10010,1.88E-03
10020,102,10030,3.89E-06
10030,16,10020,1.85E-04
20030,102,20040,4.32E-05
20030,103,10030,2.20E+00
30060,102,30070,2.19E-05
30060,103,20060,1.19E-03
30070,16,30060,7.57E-05
30070,102,30080,2.74E-05
40070,103,30070,9.78E+00
40090,16,40080,2.66E-02
40090,102,40100,5.67E-06
40090,103,30090,1.78E-06
60120,102,60130,2.75E-05
60120,103,50120,1.85E-05
60130,102,60140,7.24E-05
70140,16,70130,1.18E-05
70140,102,70150,4.94E-05
70140,103,60140,2.83E-02
70150,16,70140,1.68E-04
70150,102,70160,1.40E-05
70150,103,60150,2.29E-05
80160,16,80150,1.22E-06
80160,102,80170,6.89E-04
80160,103,70160,5.87E-05
80170,16,80160,1.51E-04
80170,102,80180,8.77E-05
80170,103,70170,8.30E-05
80180,16,80170,8.89E-04
80180,17,80160,1.16E-04
80180,102,80190,4.54E-05
80180,103,70180,7.54E-06
90190,16,90180,5.68E-05
90190,102,90200,5.74E-03
90190,103,80190,5.04E-04
100200,16,100190,8.47E-07
100200,102,100210,2.81E-03
100200,103,90200,3.08E-04
100210,16,100200,1.56E-03
100210,17,100190,0.00E+00
100210,102,100220,1.13E-02
100210,103,90210,1.52E-04
100220,16,100210,7.86E-04
100220,17,100200,3.92E-06
100220,102,100230,1.48E-03
100220,103,90220,9.68E-06
110220,16,110210,4.49E-05
110220,102,110230,4.12E-03
110220,103,100220,8.53E-01
110230,16,110220,1.19E-04
110230,102,110240,1.58E-02
110230,103,100230,6.14E-04
120240,16,120230,4.01E-05
120240,102,120250,4.11E-02
120240,103,110240,9.48E-04
120250,16,120240,1.73E-03
120250,102,120260,1.96E-02
120250,103,110250,5.71E-04
120260,16,120250,9.50E-04
120260,102,120270,6.04E-03
120260,103,110260,5.61E-05
131300,16,131290,3.09E-05
131300,102,131310,6.98E-03
131300,103,121300,1.64E+00
130270,16,130260,8.86E-05
130270,102,130280,1.42E-02
130270,103,120270,1.22E-03
140280,16,140270,3.11E-06
140280,102,140290,4.42E-02
140280,103,130280,2.77E-03
140290,16,140280,4.79E-04
140290,102,140300,8.72E-02
140290,103,130290,1.35E-03
140300,16,140290,6.77E-04
140300,102,140310,1.51E-01
140300,103,130300,5.61E-05
140310,16,140300,4.31E-03
140310,102,140320,7.33E-03
140310,103,130310,1.49E-05
140320,16,140310,1.05E-03
140320,102,140330,5.48E-04
140320,103,130320,3.26E-06
150310,16,150300,4.11E-05
150310,102,150320,3.61E-03
150310,103,140310,7.89E-03
160320,16,160310,1.39E-06
160320,102,160330,4.37E-02
160320,103,150320,1.44E-02
160330,16,160320,4.06E-04
160330,102,160340,1.43E-02
160330,103,150330,1.91E-02
160340,16,160330,4.16E-04
160340,102,160350,2.30E-03
160340,103,150340,4.91E-04
160350,16,160340,3.14E-03
160350,102,160360,8.21E-03
160350,103,150350,1.14E-04
160360,16,160350,9.06E-04
160360,102,160370,3.86E-04
160360,103,150360,3.84E-06
170350,16,170340,1.64E-05
170350,102,170360,5.17E-02
170350,103,160350,3.81E-02
170360,16,170350,5.92E-04
170360,102,170370,5.09E-02
170360,103,160360,1.30E-01
170370,16,170360,5.67E-04
170370,17,170350,1.66E-09
170370,102,170380,7.25E-03
170370,103,160370,1.28E-04
180360,16,180350,5.10E-06
180360,102,180370,5.98E-03
180360,103,170360,3.70E-02
180370,16,180360,3.66E-04
180370,17,180350,0.00E+00
180370,102,180380,6.31E-02
180370,103,170370,2.81E-01
180380,16,180370,5.89E-04
180380,102,180390,6.13E-04
180380,103,170380,5.03E-04
180390,16,180380,1.87E-03
180390,102,180400,1.09E-02
180390,103,170390,1.54E-04
180400,16,180390,9.41E-04
180400,17,180380,1.23E-05
180400,102,180410,3.26E-02
180400,103,170400,2.84E-05
180410,16,180400,3.60E-03
180410,17,180390,6.98E-05
180410,102,180420,1.05E-01
180410,103,170410,3.43E-05
190390,16,190380,2.92E-05
190390,102,190400,6.04E-02
190390,103,180390,2.57E-02
190400,16,190390,9.45E-04
190400,102,190410,1.01E-02
190400,103,180400,1.59E-02
190410,16,190400,5.38E-05
190410,102,190420,1.09E-01
190410,103,180410,6.57E-04
200400,16,200390,2.73E-06
200400,102,200410,1.50E-01
200400,103,190400,2.49E-02
200410,16,200400,3.49E-04
200410,102,200420,2.01E-02
200410,103,190410,3.88E-02
200420,16,200410,4.91E-04
200420,102,200430,1.33E-01
200420,103,190420,1.32E-03
200430,16,200420,1.38E-03
200430,17,200410,0.00E+00
200430,102,200440,8.81E-02
200430,103,190430,9.70E-04
200440,16,200430,1.01E-03
200440,17,200420,0.00E+00
200440,102,200450,7.89E-02
200440,103,190440,8.89E-05
200450,16,200440,1.86E-03
200450,17,200430,1.65E-06
200450,102,200460,3.89E-02
200450,103,190450,6.25E-05
200460,16,200450,1.35E-03
200460,17,200440,2.76E-06
200460,102,200470,1.04E-03
200460,103,190460,1.90E-05
200470,16,200460,3.02E-03
200470,17,200450,2.61E-05
200470,102,200480,1.76E-02
200470,103,190470,1.99E-05
200480,16,200470,1.56E-03
200480,17,200460,1.28E-05
200480,102,200490,4.87E-04
200480,103,190480,1.92E-06
210450,16,210440,5.83E-04
210450,102,210460,9.60E-02
210450,103,200450,7.23E-03
220460,16,220450,2.16E-04
220460,102,220470,7.36E-02
220460,103,210460,3.60E-03
220470,16,220460,1.06E-03
220470,102,220480,9.99E-02
220470,103,210470,4.82E-03
220480,16,220470,9.12E-04
220480,102,220490,9.67E-02
220480,103,210480,2.47E-04
220490,16,220480,1.34E-03
220490,102,220500,3.23E-02
220490,103,210490,3.30E-04
220500,16,220490,1.27E-03
220500,17,220480,1.37E-08
220500,102,220510,2.50E-02
220500,103,210500,2.27E-05
230490,16,230480,4.21E-04
230490,102,230500,2.40E-01
230490,103,220490,4.17E-02
230500,16,230490,8.20E-04
230500,102,230510,3.33E-02
230500,103,220500,2.65E-03
230510,16,230500,1.05E-03
230510,102,230520,8.79E-02
230510,103,220510,1.98E-04
240500,16,240490,7.35E-05
240500,102,240510,1.32E-01
240500,103,230500,1.39E-02
240510,16,240500,7.70E-04
240510,17,240490,0.00E+00
240510,102,240520,2.48E-01
240510,103,230510,7.63E-02
240520,16,240510,6.72E-04
240520,102,240530,6.70E-02
240520,103,230520,4.51E-04
240530,16,240520,1.95E-03
240530,102,240540,5.67E-02
240530,103,230530,1.86E-04
240540,16,240530,1.14E-03
240540,102,240550,5.35E-02
240540,103,230540,2.31E-05
250540,16,250530,1.78E-03
250540,17,250520,0.00E+00
250540,102,250550,3.68E-01
250540,103,240540,2.45E-02
250550,16,250540,1.16E-03
250550,17,250530,0.00E+00
250550,102,250560,9.10E-02
250550,103,240550,1.44E-04
260540,16,260530,8.26E-05
260540,102,260550,1.33E-01
260540,103,250540,1.91E-02
260550,16,260540,6.86E-04
260550,17,260530,0.00E+00
260550,102,260560,1.71E-01
260550,103,250550,1.54E-02
260560,16,260550,5.84E-04
260560,102,260570,7.54E-02
260560,103,250560,5.30E-04
260570,16,260560,2.37E-03
260570,102,260580,1.45E-01
260570,103,250570,2.71E-04
260580,16,260570,1.18E-03
260580,102,260590,8.60E-02
260580,103,250580,4.97E-05
270580,16,270570,1.23E-03
270580,102,270590,2.71E-01
270580,103,260580,4.97E-01
270590,16,270580,1.15E-03
270590,17,270570,6.31E-09
270590,102,270600,8.53E-02
270590,103,260590,4.42E-04
270581,16,270570,1.03E-03
270581,102,270590,3.68E-02
270581,103,260580,2.67E-02
280580,16,280570,7.71E-05
280580,102,280590,1.52E-01
280580,103,270580,2.42E-02
280590,16,280580,6.07E-04
280590,102,280600,1.17E-01
280590,103,270590,4.58E-02
280600,16,280590,6.69E-04
280600,102,280610,1.43E-01
280600,103,270600,8.67E-04
280610,16,280600,2.18E-03
280610,17,280590,0.00E+00
280610,102,280620,2.65E-01
280610,103,270610,8.17E-04
280620,16,280610,1.06E-03
280620,17,280600,4.93E-07
280620,102,280630,1.83E-01
280620,103,270620,6.99E-05
280630,16,280620,2.92E-03
280630,102,280640,9.14E-02
280630,103,270630,6.45E-05
280640,16,280630,1.42E-03
280640,17,280620,4.44E-05
280640,102,280650,1.43E-01
280640,103,270640,1.56E-05
290630,16,290620,8.59E-04
290630,102,290640,1.26E-01
290630,103,280630,5.13E-03
290640,16,290630,2.09E-03
290640,102,290650,7.58E-02
290640,103,280640,1.23E-01
290650,16,290640,1.41E-03
290650,17,290630,5.32E-06
290650,102,290660,6.54E-02
290650,103,280650,1.80E-04
300640,16,300630,3.54E-04
300640,102,300650,1.53E-01
300640,103,290640,9.00E-03
300650,16,300640,2.12E-03
300650,102,300660,9.69E-02
300650,103,290650,5.14E-02
300660,16,300650,7.11E-04
300660,17,300640,6.77E-08
300660,102,300670,1.06E-01
300660,103,290660,4.92E-04
300670,16,300660,3.28E-03
300670,17,300650,3.47E-06
300670,102,300680,2.00E-01
300670,103,290670,3.08E-04
300680,16,300670,1.27E-03
300680,17,300660,1.30E-05
300680,102,300690,9.49E-02
300680,103,290680,4.80E-05
300690,16,300680,3.98E-03
300690,102,300700,5.97E-02
300690,103,290690,6.52E-05
300700,16,300690,1.59E-03
300700,17,300680,9.81E-05
300700,102,300710,6.04E-02
300700,103,290700,1.43E-05
310690,16,310680,1.34E-03
310690,102,310700,1.24E-01
310690,103,300690,7.33E-04
310700,16,310690,2.27E-03
310700,102,310710,1.12E-01
310700,103,300700,1.84E-03
310710,16,310700,1.47E-03
310710,17,310690,1.14E-05
310710,102,310720,2.49E-01
310710,103,300710,4.94E-05
320700,16,320690,9.03E-04
320700,102,320710,1.30E-01
320700,103,310700,7.74E-04
320710,16,320700,2.39E-03
320710,102,320720,1.86E-01
320710,103,310710,1.57E-03
320720,16,320710,1.41E-03
320720,17,320700,2.05E-06
320720,102,320730,9.54E-02
320720,103,310720,1.14E-04
320730,16,320720,2.49E-03
320730,17,320710,5.54E-06
320730,102,320740,2.04E-01
320730,103,310730,5.43E-05
320740,16,320730,1.52E-03
320740,17,320720,9.83E-06
320740,102,320750,5.83E-02
320740,103,310740,1.69E-05
320750,16,320740,4.53E-03
320750,102,320760,6.36E-02
320750,103,310750,2.80E-05
320760,16,320750,1.91E-03
320760,17,320740,5.87E-05
320760,102,320770,5.80E-02
320760,103,310760,7.84E-06
330730,16,330720,1.22E-03
330730,17,330710,0.00E+00
330730,102,330740,4.15E-01
330730,103,320730,3.11E-03
330740,16,330730,3.63E-03
330740,17,330720,1.57E-08
330740,102,330750,6.74E-01
330740,103,320740,1.14E-01
330750,16,330740,1.49E-03
330750,17,330730,2.41E-07
330750,102,330760,3.44E-01
330750,103,320750,1.78E-04
340740,16,340730,5.66E-04
340740,102,340750,2.48E-01
340740,103,330740,6.31E-03
340750,16,340740,2.15E-03
340750,17,340730,0.00E+00
340750,102,340760,5.34E-01
340750,103,330750,4.83E-03
340760,16,340750,1.23E-03
340760,17,340740,1.65E-07
340760,102,340770,1.67E-01
340760,103,330760,3.54E-04
340770,16,340760,6.10E-03
340770,17,340750,1.18E-05
340770,102,340780,3.17E-01
340770,103,330770,2.75E-04
340780,16,340770,1.55E-03
340780,17,340760,4.17E-05
340780,102,340790,1.85E-01
340780,103,330780,3.52E-05
340790,16,340780,9.35E-03
340790,17,340770,4.31E-05
340790,102,340800,2.05E-01
340790,103,330790,2.68E-05
340800,16,340790,1.63E-03
340800,17,340780,1.37E-04
340800,102,340810,1.04E-01
340800,103,330800,2.15E-05
340810,16,340800,4.42E-03
340810,102,340820,5.75E-02
340810,103,330810,1.79E-05
340820,16,340810,2.32E-03
340820,17,340800,2.68E-04
340820,102,340830,1.06E-01
340820,103,330820,4.27E-06
350790,16,350780,1.49E-03
350790,17,350770,3.61E-06
350790,102,350800,4.27E-01
350790,103,340790,1.36E-03
350800,16,350790,2.78E-03
350800,102,350810,2.54E-01
350800,103,340800,3.44E-02
350810,16,350800,1.47E-03
350810,17,350790,2.76E-05
350810,102,350820,2.00E-01
350810,103,340810,1.01E-04
360780,16,360770,7.72E-04
360780,102,360790,2.05E-01
360780,103,350780,5.75E-03
360790,16,360780,1.69E-03
360790,102,360800,2.03E-01
360790,103,350790,9.57E-02
360800,16,360790,1.15E-03
360800,102,360810,2.27E-01
360800,103,350800,4.61E-04
360810,16,360800,2.53E-03
360810,17,360790,0.00E+00
360810,102,360820,3.22E-01
360810,103,350810,7.58E-04
360820,16,360810,1.40E-03
360820,17,360800,4.21E-06
360820,102,360830,6.80E-02
360820,103,350820,7.66E-05
360830,16,360820,4.82E-03
360830,17,360810,2.35E-07
360830,102,360840,1.53E-01
360830,103,350830,5.76E-05
360840,16,360830,1.47E-03
360840,17,360820,2.42E-05
