Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
10010,102,10020,4.06E-04
10020,16,10010,1.04E-03
10020,102,10030,3.02E-06
10030,16,10020,4.31E-05
10030,17,10010,1.89E-06
20030,102,20040,3.05E-05
20030,103,10030,3.18E+00
20040,16,20030,0.00E+00
30060,102,30070,4.70E-05
30060,103,20060,7.29E-04
30070,16,30060,1.85E-05
30070,102,30080,3.93E-05
40070,103,30070,2.50E+01
40090,102,40100,9.78E-06
40090,103,30090,1.45E-07
40100,16,40090,1.35E-04
40100,102,40110,1.11E-05
50100,102,50110,3.89E-04
50100,103,40100,1.44E-03
50110,16,50100,6.24E-06
50110,102,50120,6.85E-05
50110,103,40110,5.54E-07
60120,16,60110,0.00E+00
60120,17,60100,0.00E+00
60120,102,60130,3.76E-05
60120,103,50120,3.14E-07
60130,16,60120,1.19E-04
60130,17,60110,0.00E+00
60130,102,60140,2.98E-04
60130,103,50130,1.70E-05
60140,16,60130,3.19E-05
60140,17,60120,4.97E-09
60140,102,60150,5.58E-06
60140,103,50140,0.00E+00
70140,16,70130,1.68E-06
70140,17,70120,0.00E+00
70140,102,70150,7.98E-05
70140,103,60140,1.32E-02
70150,16,70140,2.70E-05
70150,17,70130,0.00E+00
70150,102,70160,1.28E-05
70150,103,60150,3.56E-06
80160,16,80150,3.02E-07
80160,17,80140,0.00E+00
80160,102,80170,5.33E-05
80160,103,70160,6.30E-06
80170,16,80160,1.66E-04
80170,17,80150,0.00E+00
80170,102,80180,9.69E-05
80170,103,70170,5.43E-06
80180,16,80170,1.47E-04
80180,17,80160,3.06E-06
80180,102,80190,4.17E-05
80180,103,70180,1.77E-05
90190,16,90180,9.58E-06
90190,102,90200,3.54E-03
90190,103,80190,2.65E-04
100200,16,100190,4.46E-08
100200,17,100180,0.00E+00
100200,102,100210,5.59E-05
100200,103,90200,1.26E-04
100210,16,100200,1.91E-04
100210,17,100190,0.00E+00
100210,102,100220,3.54E-04
100210,103,90210,1.76E-04
100220,16,100210,1.11E-04
100220,17,100200,5.17E-08
100220,102,100230,8.44E-05
100220,103,90220,6.31E-06
110220,16,110210,2.75E-06
110220,17,110200,0.00E+00
110220,102,110230,4.06E-02
110220,103,100220,3.42E+00
110230,16,110220,1.01E-05
110230,17,110210,0.00E+00
110230,102,110240,4.50E-04
110230,102,110240,1.26E-03
110230,103,100230,2.57E-04
110240,16,110230,9.23E-04
110240,17,110220,0.00E+00
110240,102,110250,1.24E-03
110240,103,100240,6.44E-04
120240,16,120230,1.33E-06
120240,17,120220,0.00E+00
120240,102,120250,2.23E-03
120240,103,110240,2.05E-04
120240,103,110240,1.10E-04
120250,16,120240,1.92E-04
120250,17,120230,0.00E+00
120250,102,120260,2.52E-03
120250,103,110250,4.36E-04
120260,16,120250,6.43E-05
120260,17,120240,2.67E-09
120260,102,120270,2.89E-04
120260,103,110260,4.25E-06
120280,16,120270,1.73E-04
120280,17,120260,1.03E-05
120280,102,120290,4.27E-06
120280,103,110280,1.65E-07
130260,16,130250,3.14E-06
130260,17,130240,0.00E+00
130260,17,130240,0.00E+00
130260,102,130270,2.51E-03
130260,103,120260,3.79E-01
130270,16,130260,1.18E-05
130270,16,130260,1.58E-06
130270,17,130250,0.00E+00
130270,102,130280,4.39E-03
130270,103,120270,4.56E-04
140280,16,140270,3.98E-08
140280,17,140260,0.00E+00
140280,102,140290,1.03E-03
140280,103,130280,1.02E-03
140290,16,140280,2.24E-04
140290,17,140270,0.00E+00
140290,102,140300,3.54E-03
140290,103,130290,5.82E-04
140300,16,140290,1.30E-04
140300,17,140280,0.00E+00
140300,102,140310,1.40E-02
140300,103,130300,1.02E-05
140310,16,140300,8.38E-04
140310,17,140290,2.83E-07
140310,102,140320,4.75E-04
140310,103,130310,1.48E-05
140320,16,140310,1.72E-04
140320,17,140300,3.25E-06
140320,102,140330,3.82E-05
140320,103,130320,7.71E-07
150310,16,150300,9.53E-06
150310,17,150290,0.00E+00
150310,102,150320,2.14E-03
150310,103,140310,6.55E-03
150320,16,150310,2.73E-04
150320,17,150300,0.00E+00
150320,102,150330,3.12E-03
150320,103,140320,9.28E-03
150330,16,150320,1.19E-04
150330,17,150310,3.28E-08
150330,102,150340,1.31E-04
150330,103,140330,8.51E-05
160320,16,160310,1.40E-07
160320,17,160300,0.00E+00
160320,102,160330,4.26E-03
160320,103,150320,1.13E-02
160330,16,160320,6.06E-05
160330,17,160310,0.00E+00
160330,102,160340,1.92E-03
160330,103,150330,1.42E-02
160340,16,160330,4.88E-05
160340,17,160320,0.00E+00
160340,102,160350,3.04E-04
160340,103,150340,5.85E-05
160350,16,160340,6.72E-04
160350,17,160330,9.42E-09
160350,102,160360,1.93E-03
160350,103,150350,5.24E-05
160360,16,160350,2.37E-04
160360,17,160340,8.75E-07
160360,102,160370,1.91E-04
160360,103,150360,8.42E-06
170350,16,170340,2.59E-06
170350,16,170340,2.47E-06
170350,17,170330,0.00E+00
170350,102,170360,1.49E-02
170350,103,160350,2.52E-02
170360,16,170350,2.20E-04
170360,17,170340,0.00E+00
170360,17,170340,0.00E+00
170360,102,170370,1.38E-02
170360,103,160360,1.96E-02
170370,16,170360,1.62E-04
170370,17,170350,5.18E-10
170370,102,170380,1.48E-03
170370,102,170380,3.46E-04
170370,103,160370,4.11E-05
180360,16,180350,2.08E-07
180360,17,180340,0.00E+00
180360,102,180370,5.76E-03
180360,103,170360,2.60E-02
180370,16,180360,5.98E-05
180370,17,180350,0.00E+00
180370,102,180380,7.81E-03
180370,103,170370,2.46E-01
180380,16,180370,7.01E-05
180380,17,180360,0.00E+00
180380,102,180390,7.71E-04
180380,103,170380,5.53E-05
180380,103,170380,8.82E-05
180390,16,180380,5.92E-04
180390,17,180370,2.93E-09
180390,102,180400,2.04E-01
180390,103,170390,9.58E-05
180400,16,180390,1.24E-04
180400,17,180380,5.28E-07
180400,102,180410,3.04E-03
180400,103,170400,5.02E-06
180410,16,180400,6.72E-04
180410,17,180390,3.67E-06
180410,102,180420,2.67E-03
180410,103,170410,8.96E-06
180420,16,180410,1.92E-04
180420,17,180400,4.47E-06
180420,102,180430,1.77E-03
180420,103,170420,8.42E-06
190390,16,190380,2.52E-06
190390,16,190380,6.35E-07
190390,17,190370,0.00E+00
190390,102,190400,1.71E-02
190390,103,180390,1.11E-01
190400,16,190390,1.27E-04
190400,17,190380,0.00E+00
190400,17,190380,0.00E+00
190400,102,190410,2.61E-02
190400,103,180400,1.69E-02
190410,16,190400,1.61E-04
190410,17,190390,6.09E-08
190410,102,190420,5.26E-02
190410,103,180410,2.34E-04
190420,16,190410,4.19E-04
190420,17,190400,1.99E-07
190420,102,190430,1.77E-02
190420,103,180420,9.94E-04
190430,16,190420,1.31E-04
190430,17,190410,4.13E-07
190430,102,190440,2.09E-02
190430,103,180430,2.33E-05
200400,16,200390,1.88E-06
200400,17,200380,0.00E+00
200400,102,200410,4.84E-03
200400,103,190400,2.42E-02
200410,16,200400,4.91E-05
200410,17,200390,0.00E+00
200410,102,200420,1.28E-02
200410,103,190410,4.63E-02
200420,16,200410,7.07E-05
200420,17,200400,0.00E+00
200420,102,200430,1.14E-02
200420,103,190420,6.45E-04
200430,16,200420,1.38E-04
200430,17,200410,0.00E+00
200430,102,200440,6.73E-02
200430,103,190430,6.93E-04
200440,16,200430,1.30E-04
200440,17,200420,8.40E-11
200440,102,200450,7.99E-03
200440,103,190440,1.37E-05
200450,16,200440,3.42E-04
200450,17,200430,1.22E-08
200450,102,200460,5.39E-02
200450,103,190450,1.77E-05
200460,16,200450,1.75E-04
200460,17,200440,7.78E-08
200460,102,200470,7.07E-03
200460,103,190460,6.32E-06
200470,16,200460,5.03E-04
200470,17,200450,3.19E-07
200470,102,200480,1.58E-02
200470,103,190470,5.42E-06
200480,16,200470,2.50E-04
200480,17,200460,4.94E-07
200480,102,200490,3.43E-04
200480,103,190480,1.56E-07
210441,16,210430,5.43E-05
210441,17,210420,0.00E+00
210441,17,210420,0.00E+00
210441,102,210450,2.20E-02
210441,102,210450,5.12E-02
210441,103,200440,9.79E-01
210450,16,210440,6.69E-05
210450,16,210440,1.57E-05
210450,17,210430,0.00E+00
210450,102,210460,4.67E-02
210450,102,210460,3.17E-02
210450,103,200450,1.10E-03
210460,16,210450,1.46E-04
210460,16,210450,3.51E-05
210460,17,210440,0.00E+00
210460,17,210440,0.00E+00
210460,102,210470,7.07E-02
210460,103,200460,5.32E-03
210470,16,210460,1.60E-04
210470,16,210460,3.18E-05
210470,17,210450,0.00E+00
210470,17,210450,0.00E+00
210470,102,210480,5.87E-02
210470,103,200470,1.92E-04
210480,16,210470,2.99E-04
210480,17,210460,1.97E-09
210480,17,210460,4.58E-11
210480,102,210490,1.11E-01
210480,103,200480,2.90E-04
220440,16,220430,4.08E-08
220440,17,220420,0.00E+00
220440,102,220450,2.39E-03
220440,103,210440,2.12E-01
220440,103,210440,3.35E-03
220450,16,220440,1.13E-05
220450,17,220430,0.00E+00
220450,102,220460,1.00E-01
220450,103,210450,4.48E+00
220450,103,210450,2.95E+00
220460,16,220450,2.63E-05
220460,17,220440,0.00E+00
220460,102,220470,2.22E-02
220460,103,210460,1.27E-03
220460,103,210460,4.64E-04
