BoL,BoC,EoC,EoL
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.87E+09,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.45E+10,1.74E+10,4.16E+09,9.56E+09
7.45E+09,6.56E+09,0.00E+00,1.76E+10
2.48E+10,7.84E+10,4.65E+10,2.49E+10
1.07E+11,9.93E+10,3.53E+10,3.26E+10
1.22E+11,7.82E+10,2.90E+10,3.95E+10
1.47E+11,1.34E+11,1.29E+11,9.81E+10
2.12E+11,1.72E+11,1.76E+11,1.25E+11
1.84E+11,2.48E+11,1.39E+11,1.58E+11
2.87E+11,2.28E+11,2.11E+11,1.79E+11
8.55E+11,7.00E+11,7.39E+11,5.68E+11
1.20E+12,9.69E+11,9.75E+11,9.27E+11
1.40E+12,1.24E+12,1.20E+12,1.31E+12
1.02E+12,1.19E+12,1.41E+12,1.38E+12
1.10E+12,1.23E+12,1.15E+12,1.21E+12
8.86E+11,8.95E+11,9.80E+11,1.11E+12
6.67E+11,8.17E+11,8.21E+11,8.21E+11
7.40E+11,7.76E+11,7.34E+11,7.34E+11
8.13E+11,9.30E+11,9.77E+11,9.55E+11
1.38E+12,1.46E+12,1.46E+12,1.51E+12
2.37E+12,2.74E+12,2.43E+12,2.73E+12
3.79E+12,4.20E+12,3.91E+12,4.02E+12
1.31E+13,1.39E+13,1.41E+13,1.49E+13
1.96E+13,2.18E+13,2.17E+13,2.25E+13
2.32E+13,2.43E+13,2.48E+13,2.57E+13
2.51E+13,2.68E+13,2.51E+13,2.74E+13
1.70E+13,1.56E+13,1.45E+13,1.55E+13
1.81E+13,1.60E+13,1.71E+13,1.67E+13
3.87E+13,3.67E+13,3.69E+13,3.72E+13
3.65E+13,3.65E+13,3.51E+13,3.66E+13
3.26E+13,3.39E+13,3.33E+13,3.17E+13
2.70E+13,2.66E+13,2.61E+13,2.63E+13
2.04E+13,1.96E+13,1.88E+13,1.88E+13
6.66E+12,6.67E+12,6.35E+12,6.58E+12
4.52E+12,4.57E+12,4.58E+12,4.63E+12
2.46E+12,2.38E+12,2.33E+12,2.41E+12
1.18E+12,1.18E+12,1.08E+12,1.17E+12
2.70E+11,2.60E+11,2.56E+11,2.87E+11
1.99E+11,2.13E+11,1.86E+11,1.89E+11
1.84E+11,1.70E+11,1.66E+11,1.65E+11
1.52E+11,1.50E+11,1.48E+11,1.46E+11
1.45E+11,1.45E+11,1.54E+11,1.42E+11
1.38E+11,1.36E+11,1.45E+11,1.31E+11
1.54E+11,1.43E+11,1.51E+11,1.55E+11
1.72E+11,1.66E+11,1.72E+11,1.76E+11
1.98E+11,1.95E+11,1.90E+11,1.99E+11
2.70E+11,2.42E+11,2.34E+11,2.28E+11
3.49E+11,3.20E+11,3.05E+11,3.18E+11
4.55E+11,4.54E+11,4.44E+11,4.08E+11
6.87E+11,6.42E+11,5.96E+11,6.14E+11
9.10E+11,9.07E+11,8.41E+11,8.81E+11
1.25E+12,1.17E+12,1.23E+12,1.12E+12
5.43E+12,5.08E+12,5.29E+12,4.78E+12
9.56E+12,8.59E+12,8.50E+12,8.87E+12
1.45E+13,1.28E+13,1.18E+13,1.18E+13
1.78E+13,1.61E+13,1.55E+13,1.39E+13
4.60E+13,4.16E+13,3.96E+13,3.55E+13
7.24E+13,5.96E+13,5.22E+13,4.80E+13
1.03E+14,8.31E+13,7.52E+13,6.74E+13
1.32E+14,1.16E+14,1.04E+14,9.70E+13
