BoL,BoC,EoC,EoL
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.34E+09,3.31E+09,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.27E+10,1.96E+10,1.43E+10,1.89E+10
3.30E+10,2.41E+10,1.21E+10,1.10E+10
8.76E+10,6.35E+10,4.96E+10,2.98E+10
1.27E+11,6.26E+10,8.03E+10,8.74E+10
1.60E+11,1.24E+11,1.29E+11,9.49E+10
2.38E+11,1.31E+11,9.50E+10,9.91E+10
1.64E+11,1.16E+11,1.14E+11,1.14E+11
2.03E+11,2.16E+11,1.64E+11,9.94E+10
2.69E+11,2.83E+11,1.71E+11,1.42E+11
1.13E+12,8.04E+11,8.53E+11,8.85E+11
1.26E+12,1.13E+12,1.11E+12,1.18E+12
1.26E+12,1.57E+12,1.29E+12,1.43E+12
1.41E+12,1.22E+12,1.32E+12,1.37E+12
1.11E+12,1.09E+12,1.37E+12,1.48E+12
9.81E+11,1.09E+12,1.01E+12,1.10E+12
7.88E+11,8.56E+11,8.16E+11,8.58E+11
7.44E+11,7.52E+11,8.22E+11,8.10E+11
8.69E+11,9.21E+11,9.38E+11,9.85E+11
1.35E+12,1.41E+12,1.48E+12,1.46E+12
2.33E+12,2.40E+12,2.43E+12,2.53E+12
4.17E+12,3.76E+12,4.04E+12,4.45E+12
1.34E+13,1.37E+13,1.36E+13,1.43E+13
1.98E+13,2.20E+13,2.27E+13,2.27E+13
2.54E+13,2.46E+13,2.46E+13,2.54E+13
2.62E+13,2.46E+13,2.58E+13,2.57E+13
1.61E+13,1.54E+13,1.47E+13,1.63E+13
1.75E+13,1.54E+13,1.71E+13,1.76E+13
3.58E+13,3.57E+13,3.81E+13,3.76E+13
3.46E+13,3.66E+13,3.64E+13,3.78E+13
3.24E+13,3.25E+13,3.27E+13,3.26E+13
2.69E+13,2.55E+13,2.56E+13,2.62E+13
1.95E+13,1.84E+13,1.83E+13,1.87E+13
6.74E+12,5.97E+12,6.50E+12,6.40E+12
4.57E+12,4.20E+12,4.13E+12,4.15E+12
2.26E+12,2.24E+12,2.25E+12,2.32E+12
1.07E+12,1.05E+12,1.07E+12,1.06E+12
2.48E+11,2.50E+11,2.58E+11,2.71E+11
2.00E+11,1.94E+11,1.97E+11,1.83E+11
1.65E+11,1.61E+11,1.67E+11,1.64E+11
1.47E+11,1.46E+11,1.43E+11,1.37E+11
1.38E+11,1.34E+11,1.43E+11,1.36E+11
1.26E+11,1.27E+11,1.20E+11,1.34E+11
1.33E+11,1.41E+11,1.39E+11,1.33E+11
1.58E+11,1.51E+11,1.62E+11,1.61E+11
1.74E+11,1.79E+11,1.90E+11,1.90E+11
2.22E+11,2.27E+11,2.50E+11,2.12E+11
3.02E+11,3.04E+11,2.96E+11,2.96E+11
4.02E+11,4.32E+11,4.00E+11,4.06E+11
5.90E+11,5.60E+11,5.42E+11,5.18E+11
8.16E+11,8.19E+11,8.26E+11,7.54E+11
1.16E+12,1.03E+12,1.13E+12,1.06E+12
5.09E+12,4.80E+12,4.64E+12,4.65E+12
8.85E+12,7.85E+12,7.85E+12,7.28E+12
1.28E+13,1.13E+13,1.09E+13,1.08E+13
1.57E+13,1.37E+13,1.32E+13,1.35E+13
4.13E+13,3.63E+13,3.43E+13,3.44E+13
6.67E+13,5.53E+13,5.00E+13,4.39E+13
9.61E+13,7.67E+13,7.10E+13,6.29E+13
1.24E+14,1.06E+14,1.00E+14,9.11E+13
