BoL,BoC,EoC,EoL
0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.65E+08,7.61E+08,0.00E+00,7.50E+08
1.04E+09,0.00E+00,0.00E+00,9.40E+08
0.00E+00,2.18E+09,0.00E+00,1.12E+09
0.00E+00,2.53E+09,0.00E+00,1.26E+09
5.62E+09,0.00E+00,1.40E+09,1.32E+09
4.77E+09,5.96E+09,8.10E+09,6.24E+09
3.62E+09,7.10E+09,5.30E+09,6.98E+09
8.05E+09,1.18E+10,9.80E+09,7.57E+09
3.63E+10,3.08E+10,4.61E+10,2.60E+10
1.04E+11,3.20E+10,5.16E+10,4.90E+10
2.57E+11,2.34E+11,2.22E+11,2.17E+11
4.47E+11,3.97E+11,3.52E+11,4.65E+11
8.90E+12,8.32E+12,7.79E+12,7.69E+12
5.73E+12,4.89E+12,4.89E+12,4.91E+12
1.66E+13,1.49E+13,1.41E+13,1.41E+13
2.41E+13,2.11E+13,2.03E+13,1.91E+13
3.05E+13,2.67E+13,2.53E+13,2.35E+13
3.58E+13,3.27E+13,3.03E+13,2.81E+13
4.34E+13,3.62E+13,3.37E+13,3.09E+13
4.79E+13,4.03E+13,3.65E+13,3.37E+13
5.25E+13,4.34E+13,4.01E+13,3.57E+13
1.42E+14,1.24E+14,1.18E+14,1.10E+14
1.47E+14,1.38E+14,1.35E+14,1.30E+14
1.35E+14,1.33E+14,1.33E+14,1.35E+14
1.13E+14,1.15E+14,1.16E+14,1.21E+14
8.47E+13,8.87E+13,9.05E+13,9.37E+13
5.91E+13,6.22E+13,6.35E+13,6.65E+13
4.07E+13,4.32E+13,4.46E+13,4.66E+13
3.34E+13,3.50E+13,3.65E+13,3.77E+13
3.63E+13,3.81E+13,3.92E+13,4.13E+13
5.25E+13,5.36E+13,5.48E+13,5.87E+13
8.25E+13,8.64E+13,8.81E+13,9.14E+13
1.24E+14,1.29E+14,1.30E+14,1.38E+14
3.91E+14,4.06E+14,4.14E+14,4.25E+14
5.50E+14,5.59E+14,5.57E+14,5.72E+14
5.82E+14,5.80E+14,5.81E+14,5.85E+14
5.44E+14,5.29E+14,5.25E+14,5.24E+14
3.11E+14,3.03E+14,3.00E+14,2.98E+14
3.42E+14,3.39E+14,3.31E+14,3.33E+14
6.98E+14,6.85E+14,6.76E+14,6.82E+14
6.39E+14,6.26E+14,6.28E+14,6.25E+14
5.28E+14,5.20E+14,5.20E+14,5.17E+14
4.03E+14,3.95E+14,3.90E+14,3.82E+14
2.75E+14,2.65E+14,2.61E+14,2.57E+14
